algorithm,run,A,objective,daily_variance,annual_variance,daily_volatility,annual_volatility,daily_return,annual_return,cardinality,time_sec,feasible,share_konserwatywne,share_zrównoważone,share_agresywne,hhi,effective_assets,max_weight,top3_weight
SA,0,3,3.991555550914534e-05,3.991555550914534e-05,0.010058719988304626,0.006317875870033008,0.10029317019769904,0.00024879154988275727,0.06269547057045484,3,0.0516475000185892,True,1.0,0.0,0.0,0.3344511505246801,2.9899732694332806,0.351109702893484,1.0
SA,1,3,4.3202502378544124e-05,4.3202502378544124e-05,0.01088703059939312,0.006572861049690928,0.10434093443799092,0.00023074364825364615,0.05814739935991883,3,0.09889279992785305,True,0.9917575843768937,0.0,0.008242415623106389,0.49229444438708253,2.0313046620808857,0.5106258916868707,1.0
SA,2,3,3.73269395023151e-05,3.73269395023151e-05,0.009406388754583404,0.006109577686085602,0.0969865390380717,0.0002453817406808934,0.061836198651585135,3,0.06683360005263239,True,1.0,0.0,0.0,0.33339126228974725,2.999478729982159,0.3395310245814067,1.0
SA,3,3,3.967505140514705e-05,3.967505140514705e-05,0.009998112954097057,0.006298813491852815,0.0999905643253255,0.00023550976782470015,0.05934846149182444,3,0.04124500008765608,True,1.0,0.0,0.0,0.3336398215925513,2.9972441395836236,0.34651900041967154,1.0
SA,4,3,4.462188447460253e-05,4.462188447460253e-05,0.011244714887599839,0.0066799614126582,0.10604109999240785,0.00023326184015136196,0.058781983718143214,2,0.043157699983567,True,1.0,0.0,0.0,0.5000297885658305,1.9998808528351244,0.5038593111969906,1.0
GA,0,3,3.8069802331151445e-05,3.8069802331151445e-05,0.009593590187450164,0.006170073122026306,0.09794687431179294,0.00026654354896682734,0.06716897433964049,3,0.08623519993852824,True,1.0000000000000002,0.0,0.0,0.33333508118772953,2.9999842693929186,0.3343462786146092,1.0000000000000002
GA,1,3,3.736792579023614e-05,3.736792579023614e-05,0.009416717299139508,0.006112931031038723,0.09703977173890874,0.00024584464356857414,0.061952850179280684,3,0.07304020004812628,True,1.0,0.0,0.0,0.33342318265079823,2.9991915740523747,0.3381662236219999,0.9999999999999999
GA,2,3,4.320816936386706e-05,4.320816936386706e-05,0.010888458679694499,0.006573292125249498,0.10434777755033646,0.00023074364708694265,0.058147399065909544,3,0.05435099999886006,True,0.9930270248223034,0.0,0.00697297517769658,0.49310959778557617,2.0279467373799527,0.498708892677706,1.0
GA,3,3,3.911171628528962e-05,3.911171628528962e-05,0.009856152503892985,0.006253936063415552,0.09927815723457493,0.00027327615333447254,0.06886559064028708,3,0.055220199981704354,True,1.0,0.0,0.0,0.3334118064887655,2.9992939078289527,0.3405644273279017,0.9999999999999999
GA,4,3,4.0562244528408456e-05,4.0562244528408456e-05,0.010221685621158931,0.006368849545122609,0.10110235220388758,0.0002670710986401794,0.0673019168573252,3,0.09032689989544451,True,0.9999999999999998,0.0,0.0,0.3333569249713495,2.9997876902840566,0.33549635526721405,0.9999999999999998
PSO,0,3,3.736836620741541e-05,3.736836620741541e-05,0.009416828284268684,0.006112967054337477,0.09704034359104817,0.0002464904110395584,0.06211558358196871,3,0.1016003000549972,True,1.0,0.0,0.0,0.33340757521064945,2.9993319718911375,0.3399468571919227,1.0
PSO,1,3,4.439808681940663e-05,4.439808681940663e-05,0.011188317878490471,0.0066631889376939195,0.1057748452066486,0.00026059642352419963,0.0656702987280983,2,0.10418570006731898,True,1.0,0.0,0.0,0.5009046147305535,1.99638807587732,0.5212675190202519,1.0
PSO,2,3,3.738973295346324e-05,3.738973295346324e-05,0.009422212704272737,0.006114714462136662,0.09706808282990212,0.00024659545940982887,0.06214205577127688,3,0.11945480003487319,True,1.0,0.0,0.0,0.333386647737903,2.9995202470920947,0.33835994314250367,1.0
PSO,3,3,3.9031454024833496e-05,3.9031454024833496e-05,0.009835926414258041,0.006247515828297956,0.0991762391616966,0.0002360083072374938,0.05947409342384844,3,0.10110850003547966,True,1.0,0.0,0.0,0.33489810122712105,2.9859828895291955,0.3606831167526581,1.0
PSO,4,3,3.924668948828777e-05,3.924668948828777e-05,0.009890165751048518,0.006264717829901661,0.09944931247147222,0.0002762670305809049,0.06961929170638803,3,0.10433899995405227,True,1.0,0.0,0.0,0.3347800358635431,2.9870359426319006,0.36430832768843846,1.0
SA,0,5,5.874799824089362e-05,5.874799824089362e-05,0.014804495556705191,0.007664724276899569,0.12167372582733378,0.00030269331555189975,0.07627871551907874,5,0.056570000015199184,True,0.7878346086844304,0.21216539131556975,0.0,0.20080511686890368,4.979952780052181,0.21216539131556975,0.6301973243960066
SA,1,5,5.69663265244645e-05,5.69663265244645e-05,0.014355514284165054,0.007547604025415251,0.1198144994738327,0.00027690896550266103,0.06978105930667058,5,0.042574800085276365,True,0.7822520106253386,0.2177479893746614,0.0,0.20564790739805644,4.862680163646785,0.24840663160693088,0.6760474492283212
SA,2,5,3.995033659839637e-05,3.995033659839637e-05,0.010067484822795885,0.006320627864254972,0.10033685675162386,0.0002350805418339953,0.059240296542166816,4,0.03981970006134361,True,1.0,0.0,0.0,0.25240334649556867,3.961912604901047,0.273592899537607,0.7894109392839959
SA,3,5,4.885649001911883e-05,4.885649001911883e-05,0.012311835484817945,0.006989741770560542,0.11095871072078094,0.00023074370729250348,0.05814741423771087,5,0.03698109998367727,True,0.9315000168915825,0.0,0.06849998310841751,0.22816847576847463,4.382726389489108,0.2602686019649543,0.7684421151653025
SA,4,5,4.0046941701145254e-05,4.0046941701145254e-05,0.010091829308688604,0.006328265299522868,0.10045809727786309,0.00023074367579210025,0.05814740629960927,5,0.03446490003261715,True,0.962708974920587,0.0,0.03729102507941305,0.234639519847208,4.261856658465622,0.2686381789818441,0.7476222626815454
GA,0,5,4.398113758623572e-05,4.398113758623572e-05,0.011083246671731401,0.006631827620364971,0.10527699972800993,0.0002307436866247868,0.058147409029446276,5,0.053965500090271235,True,0.9517432771003065,0.0,0.04825672289969365,0.2290297606309609,4.366244793886481,0.2459323688339493,0.724301328902857
GA,1,5,3.587854488893687e-05,3.587854488893687e-05,0.009041393312012092,0.005989870189656607,0.09508624144434406,0.00024800287476378874,0.062496724440474764,4,0.05741980008315295,True,0.9999999999999999,0.0,0.0,0.25030040708943907,3.9951992552799687,0.25856602354946956,0.764476046711434
